ID,Timestamp (DD/MM/YY H:M:S),Tweet URL,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined (MM/YYYY),Following,Followers,Location,Context,Tweet,Tweet Translated,Tweet Type,Date Posted (DD/MM/YY H:M:S),Screenshot,Content Type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,"No. of Days since Philippines Joined the COVAX Facility (Jul 24, 2020)","No. of Days since FDA Approved the First COVID-19 Vaccine (Dec 11, 2020)","No. of Days since Arrival of First Batch of COVID-19 Vaccine Doses Committed by the COVAX Facility (Mar 04, 2021)","No. of Days since First Detected Cases of Omicron Variant in the Philippines (Aug 02, 2022)",Mentioned or Referenced COVID-19 Vaccine Brand,Mentioned or Referenced Other Vaccine/Drugs,Peddled Medical Adverse Side Effect,Distrust in Vaccine Development,"Racial, Religious, Cultural, Economic, or Socio-Political Keywords",Oppressive Keywords,Reviewer,Review
27-Nov,30/03/2023 18:31,https://mobile.twitter.com/BzMeNow/status/1385595930485788680,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, died, illness",@BzMeNow,BzMe,Hindi kaya ng Turco ang kalawang mong utak...nakaka-tetano ka.,Anonymous,Sep-10,101,28,Philippines,Socio-political,"Ayaw aminin ng FDA na yung vaccine ang nag trigger ng pagkamatay nila. Ayaw din nila ipaalam sa taong bayan na hindi nila kayang gamutin ang complications after the vaccination kaya namatay ang mga biktima, kaya nga 30 mins lang wait after vacination. Parang Dengvaxia lang yan.","The FDA does not want to admit that the vaccine triggered their deaths. They also don't want to inform the people that they can't treat the complications after the vaccination so the victims died, that's why they only wait 30 minutes after vaccination. It's just like Dengvaxia.",Reply,23/04/2021 22:06,,Emotional,0,0,0,,,FALSE,"No deaths are proven to be linked to COVID-19 vaccines.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,273,133,50,-466,None,Dengvaxia,DEATH,YES; Other Conspiracy,FDA,None,,
27-Dec,30/03/2023 18:56,https://twitter.com/frank_mangubat/status/1336980343736258567,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, COVID",@frank_mangubat,Frank Mangubat,"tryin to survive 

dx June 30, 2022 , TLD",Anonymous,Jan-18,87,75,Philippines,None,Depopulation begins,,Reply,10/12/2020 18:25,,Emotional,0,0,0,,,MISLEADING,"The tweet is a response to Canada's approval of Pfizer vaccine. It claims that this action will result in mass death or ""depopulation"". This is misleading because there is no scientifically established relationship between recent deaths during the tweet's time of posting and the mentioned COVID-19 vaccine brand.

[https://www.reuters.com/article/uk-factcheck-pfizer-health-concerns-idUSKBN28K2R6]","Despite having an account bio and a complete account name, it can not be confirmed if the account is identified or not due to lack of relevant personal information.",139,-1,-84,-600,Pfizer,None,DEATH,YES; Other Conspiracy,None,None,,
27-13,30/03/2023 19:29,https://twitter.com/amurao_maria/status/1290931045123022848,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, COVID",@amurao_maria,"It's Me, Maria.",Just getting the best out of my life before my time comes for me to go.,Identified,Nov-19,44,26,Philippines,Racial,Salamat Gov. Ayaw po namin ng galing China. Hindi daw po kino-consider na magaling ang mga gawa dun,Thank you Gov. We don't want vaccines from China. It is said that the works there are not considered to be good,Reply,05/08/2020 16:42,,Emotional,1,0,0,,,INACCURATE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,12,-128,-211,-727,None,None,INEFFICIENCY,YES; Vaccine Trials,China,None,,
27-14,30/03/2023 19:45,https://twitter.com/BzMeNow/status/1608417048971083777,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","sinovac, COVID, infection",@BzMeNow,BzMe,Hindi kaya ng Turco ang kalawang mong utak...nakaka-tetano ka.,Anonymous,Sep-10,101,28,Philippines,Racial,"Despite the surge in COVID cases in China because of the inefficacy of their Sinovac vaccine, our stupid Govt will still not put down strict quarantine for incoming travellers from China. We'll increased infection in PH will allow them to earn a lot from vac orders like Duts&Duqs",,Reply,29/12/2022 18:58,,"Rational, Emotional",0,0,0,,54,FALSE,"The surge of COVID cases in China during the time of the tweet's posting was not due to the ""inefficacy"" of Sinovac vaccine. It was because the country relaxed its COVID testing and quarantine policies nationwide.

[https://www.aljazeera.com/news/2022/12/31/share-data-who-again-tells-china-during-covid-surge-talks]",,888,748,665,149,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,"China, Duts(Duterte), Duqs(Duque)",stupid,,
27-15,30/03/2023 20:10,https://twitter.com/BzMeNow/status/1478661939001982976,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","sinovac, COVID, infection",@BzMeNow,BzMe,Hindi kaya ng Turco ang kalawang mong utak...nakaka-tetano ka.,Anonymous,Sep-10,101,28,Philippines,Racial,"@DOHgovph
 & this govt does not plan to publish vaccines received by those with COVID breakthrough infection because it will show how useless SINOVAC vaccines are.",,Reply,05/01/2022 17:37,,"Rational, Emotional",2,0,0,,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,530,390,307,-209,Sinovac/CoronaVac,None,"INEFFICIENCY, INFECTION",YES; Vaccine Trials,"DOH, this govt (government)",None,,
27-16,30/03/2023 20:19,https://twitter.com/DRJ036/status/1608389897106395137,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","pfizer, COVID",@DRJ036,Dre,None,Anonymous,Dec-09,678,602,Philippines,Health,pfizer doesnt work also,,Reply,29/12/2022 17:10,,Emotional,0,0,0,,9,FAKE,"Pfizer passed phase 3 clinical trial and is proven to have an efficacy rate of 95% in preventing COVID-19. It was approved by FDA way back in December 2020.

[https://www.yalemedicine.org/news/covid-19-vaccine-comparison#:~:text=How%20well%20it%20works%3A%20When,independent%20analysis%20by%20the%20FDA.]",Lacks account bio and is not identifiable.,888,748,665,149,Pfizer,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-17,30/03/2023 20:56,https://twitter.com/DRJ036/status/1490723300548349954,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vax, pfizer, patay",@DRJ036,Dre,None,Anonymous,Dec-09,678,602,Philippines,Health,based on what science?? vax doesnt prevent covid. will the govt and pfizer be liable if your kids are injured? No. So why give it to a child??? im really wondering.no joke...,,Reply,08/02/2022 0:25,,Emotional,0,0,0,,,FAKE,"Pfizer-BioNTech is recommended by experts for ages 6 months and older. It passed strict clinical trials just like other approved vaccines that can effectively prevent COVID-19.

[https://www.cdc.gov/vaccines/covid-19/planning/children.html]",Lacks account bio and is not identifiable.,564,424,341,-175,Pfizer,None,"INEFFICIENCY, OTHER AILMENT injuries",YES; Vaccine Trials,None,None,,
27-18,30/03/2023 21:13,https://twitter.com/DRJ036/status/1551928855937830913,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","side effect, vax, harmful",@DRJ036,Dre,None,Anonymous,Dec-09,678,602,Philippines,Health,"the vaccine didnt get any prizes, causes harmful side effects and doesnt even stop you from getting covid! worse, the vax makers disclaim any liability, meaning you cant sue them if something happens to you.thats way scarier than ivermectin.",,Reply,26/07/2022 21:54,,"Rational, Emotional",0,0,0,,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,732,592,509,-7,None,Ivermectin,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-19,30/03/2023 21:39,https://twitter.com/AngeliPV/status/1551761834134233088,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccinated, unvaccinated",@AngeliPV,Angeli Pangilinan Valenciano,Wife.Mom.I love my family& I live for the Lord Jesus' purpose in my life.I thank Him that His power is made perfect in my weakness. He is coming soon.,Identified,Jul-10,4239,300170,"NCR, Manila",Health,"I don’t understand why some staff and friends, both vaccinated and unvaccinated who took Ivermectin never got serious coughs and long Covid while some who were double vaccinated with boosters even got it worse ! What kind of science do we have now? Ivermectin won a Nobel prize!",,Text,26/07/2022 10:56,,"Rational, Emotional",126,71,12,135,,MISLEADING,"COVID-19 vaccines can cause side effects but are not serious or dangerous enough to cause fatality.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid-19-vaccines-myth-versus-fact]",,732,592,509,-7,None,Ivermectin,"INEFFICIENCY, COVID ITSELF",YES; Other Conspiracy,None,None,,
27-20,30/03/2023 22:04,https://twitter.com/DRJ036/status/1500790394723844097,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","pfizer, COVID",@DRJ036,Dre,None,Anonymous,Dec-09,678,602,Philippines,Health,"take note, pfizer says it ""prevents"" Covid....when it doesnt.",,Text,07/03/2022 19:08,,Rational,2,0,0,,,FAKE,"Pfizer passed phase 3 clinical trial and is proven to have an efficacy rate of 95% in preventing COVID-19. It was approved by FDA way back in December 2020.

[https://www.yalemedicine.org/news/covid-19-vaccine-comparison#:~:text=How%20well%20it%20works%3A%20When,independent%20analysis%20by%20the%20FDA.]",Lacks account bio and is not identifiable.,591,451,368,-148,Pfizer,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-21,30/03/2023 22:35,https://twitter.com/k4ats/status/1584806120379797507,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","DOH, covid, PH",@k4ats,klk,None,Anonymous,Dec-10,840,284,Philippines,Health,"@DrTonyLeachon and @DOHgovph

{My Warning to Hospitals:
Do not Transfuse the blood of mRNA Vaccinated person Blood to Children especially if vaccinated within 30 days. It causes unnecessary activation of the Clotting Factors and can cause a life-threateninf Clot or Emboli that can kill the Child.}",,Image,25/10/2022 15:16,,Rational,3,1,0,,,FAKE,OTHER AILMENT (blood clotting),Lacks account bio and is not identifiable.,823,683,600,84,None,None,OTHER AILMENT blood-clotting,YES; Other Conspiracy,DOH,None,,
27-22,30/03/2023 22:48,https://twitter.com/k4ats/status/1553047594137710592,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","news, COVID, risk",@k4ats,klk,None,Anonymous,Dec-10,840,284,Philippines,Economic,"@FoxNews

{World Health Organization Study concludes risk of suffering Serious Injury due to COVID Vaccination is 339% higher than risk of being hospitalised with COVID 19

BY THE EXPOSÈ ON JUNE 23, 2022 • (1 COMMENT)}",,Image,29/07/2022 23:59,,Rational,6,0,1,,,FAKE,"This fake news claim was fact-checked by other international news sources and the tweet's main reference, ""The Exposé"" is a notorious British conspiracist website that was debunked many times in the past.

[https://mainichi.jp/english/articles/20220929/p2a/00m/0na/008000c]",Lacks account bio and is not identifiable.,735,595,512,-4,None,None,OTHER AILMENT injuries,YES; Vaccine Distribution,"WHO, Fox News",None,,
27-23,30/03/2023 23:05,https://twitter.com/k4ats/status/1556265708254011394,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","TV Patrol, news, COVID",@k4ats,klk,None,Anonymous,Dec-10,840,284,Philippines,Economic," 
@TVPatrol
{Official Documents suggest Monkeypox is a coverup for damage done to Immune System by COVID Vaccination resulting in Shingles, Autoimmune Blistering, Disease & Herpes Infection

BY THE EXPOSÈ ON JUNE 26, 2022 • (12 COMMENTS)}",,Image,07/08/2022 21:07,,Rational,0,0,0,,,FAKE,"This fake news claim was fact-checked by other international news sources and the tweet's main reference, ""The Exposé"" is a notorious British conspiracist website that was debunked many times in the past.

[https://www.reuters.com/article/factcheck-covid19-vaccines-monkeypox-idUSL2N2XI1P5]",Lacks account bio and is not identifiable.,744,604,521,5,None,None,"INFECTION, OTHER AILMENT autoimmune-diseases monkeypox herpes shingles",YES; Other Conspiracy,TV Patrol,None,,
27-24,31/03/2023 0:02,https://twitter.com/AngeliPV/status/1593849179042119681,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, COVID, vax",@AngeliPV,Angeli Pangilinan Valenciano,Wife.Mom.I love my family& I live for the Lord Jesus' purpose in my life.I thank Him that His power is made perfect in my weakness. He is coming soon.,Identified,Jul-10,4239,300170,"NCR, Manila",Health,I’d like to understand why vaccine cards are still required for establishments when majority of my vaccinated friends & employees got Covid anyway? Some much worse than those who refused to be vaxed. It seems unfair. In the USA hardly anyone asks for these requirements anymore!,,Text,19/11/2022 14:10,,Emotional,25,4,1,,,MISLEADING,"The tweet is attempting to justify their claim using anecdotal evidence. While COVID-19 vaccines can cause side effects, these are not serious or dangerous enough to cause fatality.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid-19-vaccines-myth-versus-fact]",,848,708,625,109,None,None,COVID ITSELF,YES; Other Conspiracy,USA,None,,
27-25,31/03/2023 0:25,https://twitter.com/KimIverest/status/1490741434282311681,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vax, pfizer, disorder",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,Nov-21,35,6,Philippines,Economic,"Nanay, maawa kayo sa inyong mga anak. Pigilin ang vax. Si Maddie de Garay ay biktima ng Pfizer at nagkasakit ng neurological disorder at paralysis. Milyon ang walang pera pampagamot sa side effects - libu-libo (45,000 sa U.S.) na rin ang namatay sa so-called bakuna
@MARoxas","Mother, have mercy on your children. Stop the vax. Maddie de Garay was a victim of Pfizer and suffered a neurological disorder and paralysis. Millions don't have money to treat the side effects - thousands (45,000 in the US) have also died from the so-called vaccine
@MARoxas",Video,08/02/2022 1:37,,Emotional,2,0,2,,31,UNPROVEN,"There is not enough evidence to ascertain that the mentioned individual in the tweet is really paralyzed because of Pfizer's vaccine. The claim is driven by baseless accusations.

[https://www.foxnews.com/video/6319032926112]","There is not information in the account's profile to identify if it is a legitimate account or not, other than the complete name that is not sufficient",564,424,341,-175,Pfizer,None,OTHER AILMENT paralysis neurological,YES; Other Conspiracy,US,None,,
